fileSizeBytes,round,encryptMs,encapsulateMs,decapsulateMs,decryptMs,recovered,unauthorizedRejected
1024,1,11.9082,14.3042,2.4421,0.4311,true,true
1024,2,1.3930,4.9307,1.7697,0.3528,true,true
1024,3,0.7473,2.5476,1.3659,0.1508,true,true
1024,4,0.7052,4.9410,1.3598,0.1178,true,true
1024,5,0.7498,2.0287,1.1361,0.0888,true,true
1024,6,0.5742,2.8539,1.8389,0.0973,true,true
1024,7,0.8000,2.2635,1.3069,0.0915,true,true
1024,8,0.7559,2.8386,1.3712,0.1470,true,true
1024,9,0.8376,2.4762,1.2008,0.1283,true,true
1024,10,0.6312,2.3844,1.3231,0.1426,true,true
1024,11,0.8083,3.2416,1.3423,0.0629,true,true
1024,12,0.6594,2.3336,1.2262,0.1579,true,true
1024,13,0.6510,2.2160,1.1493,0.6404,true,true
1024,14,0.7652,2.2950,1.2640,0.0599,true,true
1024,15,0.6025,1.9333,1.2593,0.0683,true,true
1024,16,0.6209,2.1081,1.1036,0.0592,true,true
1024,17,0.6299,2.0103,1.0915,0.0559,true,true
1024,18,0.6869,2.4046,1.3120,0.0613,true,true
1024,19,0.7559,2.5320,1.3380,0.0603,true,true
1024,20,0.9816,2.1749,1.3616,0.0590,true,true
1024,21,0.6510,2.0498,1.1085,0.0589,true,true
1024,22,0.6048,3.0033,1.1131,0.0484,true,true
1024,23,0.6196,2.0278,1.1452,0.0492,true,true
1024,24,0.6270,2.0294,1.0652,0.0476,true,true
1024,25,0.8946,2.2680,1.3058,0.0667,true,true
1024,26,0.7044,1.9143,1.6569,0.1467,true,true
1024,27,0.8166,2.0507,1.1354,0.0469,true,true
1024,28,0.6075,3.6434,2.2336,0.0939,true,true
1024,29,0.8922,2.4789,1.4579,0.0731,true,true
1024,30,1.0319,4.0012,2.3508,0.0889,true,true
102400,1,4.1981,2.3214,1.2878,1.3251,true,true
102400,2,1.9774,3.1154,1.4347,1.4351,true,true
102400,3,2.2247,2.9716,2.1716,1.7621,true,true
102400,4,2.8166,2.3673,1.2202,1.4146,true,true
102400,5,2.4215,3.0941,1.1909,1.3726,true,true
102400,6,1.9885,1.8696,1.0358,1.3097,true,true
102400,7,1.7601,1.9059,1.0678,1.3130,true,true
102400,8,1.8141,1.7251,0.9664,1.2804,true,true
102400,9,1.8736,1.7995,1.0281,1.3449,true,true
102400,10,1.9044,1.8208,1.1208,1.2563,true,true
102400,11,1.7995,1.6716,0.9586,1.2453,true,true
102400,12,1.8415,1.7578,1.0826,1.2293,true,true
102400,13,1.7735,2.0726,1.8584,1.4043,true,true
102400,14,1.7449,2.0333,0.9386,1.2282,true,true
102400,15,1.6800,1.5738,0.9006,1.1966,true,true
102400,16,1.6383,1.5628,1.0520,1.2021,true,true
102400,17,1.6795,1.6637,0.9009,1.1963,true,true
102400,18,1.7465,1.5946,0.8832,1.2019,true,true
102400,19,1.7692,1.8348,0.8688,1.1646,true,true
102400,20,1.6842,1.7273,0.8488,1.1601,true,true
102400,21,1.8989,2.0608,0.9069,1.1407,true,true
102400,22,1.8320,2.1686,0.8838,1.1367,true,true
102400,23,1.5492,1.6441,0.8327,1.1344,true,true
102400,24,1.5333,1.5740,0.8507,1.1326,true,true
102400,25,1.5303,1.3830,0.8257,1.1422,true,true
102400,26,1.6217,1.6533,0.7954,1.0848,true,true
102400,27,1.7016,1.5424,0.7986,1.0873,true,true
102400,28,1.5620,1.4801,0.8039,1.1173,true,true
102400,29,1.5256,1.4735,0.8431,1.1178,true,true
102400,30,1.6450,1.3789,0.7905,1.3469,true,true
1048576,1,11.5774,3.1858,0.8133,10.6857,true,true
1048576,2,11.1722,1.4536,0.7664,10.3693,true,true
1048576,3,11.2639,1.8964,0.8021,10.1478,true,true
1048576,4,11.0823,3.4871,0.8293,10.7561,true,true
1048576,5,11.0884,2.3403,0.9227,10.7598,true,true
1048576,6,11.2468,1.6817,0.9674,10.8746,true,true
1048576,7,12.6716,1.8565,1.0900,11.0207,true,true
1048576,8,11.6687,1.7321,1.2493,10.7974,true,true
1048576,9,12.4410,1.8020,0.8274,10.5649,true,true
1048576,10,11.0251,1.9269,0.7523,10.3046,true,true
1048576,11,10.9649,1.6441,0.7602,10.1551,true,true
1048576,12,10.6821,1.9210,0.7666,9.9399,true,true
1048576,13,10.5843,1.6325,0.7247,9.9203,true,true
1048576,14,10.5375,2.5577,0.8310,10.0598,true,true
1048576,15,11.1686,1.7877,0.9409,9.9446,true,true
1048576,16,11.0084,1.9249,0.9248,10.5326,true,true
1048576,17,10.8174,1.4496,1.2773,10.4068,true,true
1048576,18,10.8072,1.4820,0.7546,9.9760,true,true
1048576,19,10.5114,1.9222,0.8285,10.7067,true,true
1048576,20,11.1049,1.6935,0.8857,10.2391,true,true
1048576,21,11.0205,1.6801,0.8450,10.4307,true,true
1048576,22,10.9840,1.4545,0.7951,10.4061,true,true
1048576,23,11.3412,1.5407,0.8657,10.4976,true,true
1048576,24,10.9802,1.9014,0.7445,10.2804,true,true
1048576,25,10.9445,1.6258,0.8208,10.3404,true,true
1048576,26,10.7366,2.2225,0.9740,10.4323,true,true
1048576,27,10.8631,1.5397,0.7187,10.1179,true,true
1048576,28,10.4623,1.4205,0.7881,10.0852,true,true
1048576,29,10.6066,1.5859,0.7244,9.7667,true,true
1048576,30,12.3339,1.5966,0.8620,10.8564,true,true
10485760,1,122.3066,1.8695,0.7823,105.1211,true,true
10485760,2,100.1836,1.6715,0.7698,97.5041,true,true
10485760,3,97.0468,2.7109,0.9109,98.0094,true,true
10485760,4,97.1850,2.2616,0.7597,96.2017,true,true
10485760,5,97.6756,1.6754,0.7197,99.4207,true,true
10485760,6,97.7737,1.6130,0.7229,96.5019,true,true
10485760,7,97.0464,1.7640,0.7765,95.7607,true,true
10485760,8,97.4358,1.7171,0.7952,96.8111,true,true
10485760,9,96.6125,2.0710,0.8310,95.6727,true,true
10485760,10,96.5501,1.4795,0.7480,96.5062,true,true
10485760,11,96.2765,1.5111,0.7313,98.4765,true,true
10485760,12,99.3508,1.7118,0.7601,96.4282,true,true
10485760,13,97.3094,1.7050,0.7352,95.3387,true,true
10485760,14,95.6128,1.4958,0.7513,95.2721,true,true
10485760,15,104.6116,1.5966,0.6850,96.3987,true,true
10485760,16,96.2723,1.4863,0.7487,95.4145,true,true
10485760,17,96.6085,1.9023,0.7978,96.5093,true,true
10485760,18,96.9438,1.5280,0.7272,95.2134,true,true
10485760,19,95.8962,1.8441,1.0385,95.8123,true,true
10485760,20,95.2772,1.6325,0.7484,95.7614,true,true
10485760,21,17.9141,1.9017,0.8010,17.1799,true,true
10485760,22,17.8456,1.4122,0.7278,16.8089,true,true
10485760,23,18.4780,1.5884,0.7675,17.9221,true,true
10485760,24,17.2475,1.6356,0.7946,17.7606,true,true
10485760,25,17.9398,1.7324,0.8305,16.9002,true,true
10485760,26,19.6760,1.6653,0.7868,18.4035,true,true
10485760,27,17.6132,1.8080,0.7315,18.1264,true,true
10485760,28,18.4866,1.5390,0.7307,17.2324,true,true
10485760,29,17.0042,1.6331,0.7164,16.8547,true,true
10485760,30,19.8485,1.6282,0.6914,16.9527,true,true
