fileSizeBytes,round,chunkBytes,chunks,encryptMs,decryptVerifyMs,observedHeapPeakDeltaBytes,observedHeapPeakPercent,configuredPlaintextBufferBytes,merkleVerified,success
1048576,1,131072,8,22.2364,18.6174,2809632,267.9474,131072,true,true
1048576,2,131072,8,22.9303,18.5614,3995760,381.0654,131072,true,true
1048576,3,131072,8,21.3015,15.9647,2537544,241.9991,131072,true,true
1048576,4,131072,8,21.2283,18.4696,2359168,224.9878,131072,true,true
1048576,5,131072,8,19.7206,14.0310,2018512,192.5003,131072,true,true
1048576,6,131072,8,19.1058,14.9243,1441616,137.4832,131072,true,true
1048576,7,131072,8,18.7955,15.1176,1634840,155.9105,131072,true,true
1048576,8,131072,8,18.4623,14.1181,1310760,125.0038,131072,true,true
1048576,9,131072,8,17.3912,14.9573,1048536,99.9962,131072,true,true
1048576,10,131072,8,17.7958,13.3474,687592,65.5739,131072,true,true
1048576,11,131072,8,17.3607,12.5714,556872,53.1075,131072,true,true
1048576,12,131072,8,16.6751,12.9605,262176,25.0031,131072,true,true
1048576,13,131072,8,16.3909,12.6451,1179440,112.4802,131072,true,true
1048576,14,131072,8,16.6408,13.0419,1691936,161.3556,131072,true,true
1048576,15,131072,8,16.3991,13.6826,2490432,237.5061,131072,true,true
1048576,16,131072,8,16.0810,15.5769,3572880,340.7364,131072,true,true
1048576,17,131072,8,15.6630,13.6593,4135600,394.4016,131072,true,true
1048576,18,131072,8,15.2077,13.6433,5227352,498.5191,131072,true,true
1048576,19,131072,8,16.0237,13.7787,0,0.0000,131072,true,true
1048576,20,131072,8,15.8253,12.6479,1048560,99.9985,131072,true,true
1048576,21,131072,8,16.5412,12.7934,1955504,186.4914,131072,true,true
1048576,22,131072,8,15.2495,12.3385,2862264,272.9668,131072,true,true
1048576,23,131072,8,16.1091,13.9570,3528832,336.5356,131072,true,true
1048576,24,131072,8,15.2362,15.1920,4470416,426.3321,131072,true,true
1048576,25,131072,8,16.3346,12.3609,5211576,497.0146,131072,true,true
