threshold,totalShares,submitted,round,expectedSuccess,actualSuccess,shareProofVerified,elapsedMs
2,3,1,0,false,false,true,3.3133
3,5,2,0,false,false,true,6.5349
2,3,2,1,true,true,true,6.0358
3,5,3,1,true,true,true,8.0955
2,3,2,2,true,true,true,5.7992
3,5,3,2,true,true,true,4.2843
2,3,2,3,true,true,true,3.3678
3,5,3,3,true,true,true,7.8235
2,3,2,4,true,true,true,4.4403
3,5,3,4,true,true,true,4.0523
2,3,2,5,true,true,true,4.2141
3,5,3,5,true,true,true,3.8709
2,3,2,6,true,true,true,2.9812
3,5,3,6,true,true,true,3.7853
2,3,2,7,true,true,true,2.7556
3,5,3,7,true,true,true,3.6091
2,3,2,8,true,true,true,2.4169
3,5,3,8,true,true,true,3.9593
2,3,2,9,true,true,true,2.6006
3,5,3,9,true,true,true,4.3886
2,3,2,10,true,true,true,4.6080
3,5,3,10,true,true,true,4.4172
2,3,2,11,true,true,true,2.8585
3,5,3,11,true,true,true,5.1631
2,3,2,12,true,true,true,2.5074
3,5,3,12,true,true,true,3.8403
2,3,2,13,true,true,true,3.0401
3,5,3,13,true,true,true,4.7386
2,3,2,14,true,true,true,2.8485
3,5,3,14,true,true,true,4.1400
2,3,2,15,true,true,true,2.6482
3,5,3,15,true,true,true,4.3423
2,3,2,16,true,true,true,2.5238
3,5,3,16,true,true,true,3.6865
2,3,2,17,true,true,true,2.5791
3,5,3,17,true,true,true,3.7562
2,3,2,18,true,true,true,2.4392
3,5,3,18,true,true,true,3.8456
2,3,2,19,true,true,true,2.7767
3,5,3,19,true,true,true,4.4992
2,3,2,20,true,true,true,2.8817
3,5,3,20,true,true,true,3.7317
2,3,2,21,true,true,true,2.2400
3,5,3,21,true,true,true,3.8896
2,3,2,22,true,true,true,2.3064
3,5,3,22,true,true,true,4.5485
2,3,2,23,true,true,true,2.5632
3,5,3,23,true,true,true,3.4682
2,3,2,24,true,true,true,3.5915
3,5,3,24,true,true,true,4.4310
2,3,2,25,true,true,true,2.4692
3,5,3,25,true,true,true,4.5913
2,3,2,26,true,true,true,2.5407
3,5,3,26,true,true,true,3.7605
2,3,2,27,true,true,true,2.4321
3,5,3,27,true,true,true,3.6297
2,3,2,28,true,true,true,2.3617
3,5,3,28,true,true,true,3.4437
2,3,2,29,true,true,true,2.2882
3,5,3,29,true,true,true,3.5790
2,3,2,30,true,true,true,2.3589
3,5,3,30,true,true,true,3.4816
